latitude,longitude,banco,enderecoExato
-22.916749209224804,-42.95903350791264,Mumbuca,S
-22.93442186204764, -43.10042288972289,Preventório,S
-3.8440460519529958, -38.525702041411066,Palmas,S
-1.371687359545252, -48.153562777042126,Rio Carapuru,N
-1.3404965019976525, -48.38555173401126,Paar,N
-1.653933666364338, -49.7416124670013,Rio Canaticú,N
-1.5304480843695532, -49.219345345687714,Pracaubense,N
-1.0665066245334227, -48.3369732340596,Tupinambá,S
-1.2755783896539956, -48.47285089597773,Caratateua,S
-1.4311468841335442, -48.46613329986177,Cajueiro,N
-1.4081438870797909, -48.4308274661906,Castanheira,N
-6.7611968286058115, -37.791894640847424,Maringá,S
-10.843735405755025, -36.97436263573091,Dunas,N
