Banco,Latitude,Longitude,Estado,Bairro,Municipio,Fundação
Rio Carapuru,-1.370930417,-48.15366067,Pará,Carapuru,Santa Izabel,2014
Paar,-1.338802,-48.386436,Pará,Paar,Ananindeua,2012
Rio Canaticú,-1.8137876,-49.7980165,Pará,Curralinho,Curralinho,2016
Pracaubense,-1.5317443,-49.2223565,Pará,Muaná,Muaná,2016
Tupinambá,-1.1343353,-48.43394738,Pará,Mosqueiro,Belém,2009
Caratateua,-1.252456689,-48.45380026,Pará,Outeiro,Belém,2013
Cajueiro,-1.45056,-48.4682453,Pará,Belém,Belém,2008
Castanheira,-1.407922449,-48.43140865,Pará,Castanheira,Belém,2014
Tauense,-1.1522,-48.131446,Pará,Santo Antonio do Taua,Santo Antonio do Taua,S.I
Miri,-1.9785213,-48.9634826,Pará,Igarapé-Miri,Igarapé-Miri,2012
Paraíso,-4.446157064,-49.11715051,Pará,Alto Paraíso,Jacundá,2011
Mari,-1.3595306,-48.3361504,Pará,Marituba 1,Marituba,2013
Aimorés,-2.99441654,-47.35523936,Pará,S.I,S.I,S.I
Alachaster Bank,-1.399369108,-48.45499367,Pará,Marambaia,Belém,2019
Aldeinha,-1.406325,-51.6427456,Pará,S.I,Gurupá,2011
Vitória,-9.94655075,-67.8018087,Acre,Vitória,Rio Branco,2011
Triângulo,-9.990117457,-67.81059112,Acre,Triângulo Novo,Rio Branco,2013
Fazendinha,0.0401529,-51.0569588,Amapá,Macapá,Macapá,2012
Farol,-0.840069638,-52.51897094,Amapá,Centro,Laranjal do Jari,2011
Forte,2.046961087,-50.79229218,Amapá,S.I,S.I,2012
Cultural Solidário de Rondônia,-8.7494525,-63.8735438,Rondônia,S.I,Porto Velho,2012
Pérola do Mamoré,-10.78657952,-65.34064497,Rondônia,Cerraria,Guajará-Mirim,2012
Colonial,-3.1316333,-59.9825041,Amazonas,Manaus,Manaus,2012
Ariramba,-2.798863,-57.067897,Amazonas,Barreirinha,Barreirinha,2016
Boa Vista do Ramos,-2.9716927,-57.5869819,Amazonas,Boa Vista do Ramos,Boa Vista do Ramos,S.I
